date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:52:54	151872/151872	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202024%2006:32:52%20GMT	https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital	C:/Meus%20Sites/kabum/www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital.html	(from )
02:52:54	459/459	---MCZ	200	added ('OK')	text/plain	etag:W/%2247d-192ba37d450%22	https://www.kabum.com.br/robots.txt		(from )
02:52:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2024%20Oct%202024%2006:32:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/kabum/www.googletagmanager.com/gtm.15445.delayed	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:52:58	54207/54207	---MCZ	200	added ('OK')	text/css	etag:W/%22d3bf-192b3ec64f8%22	https://www.kabum.com.br/core/_next/static/css/fe13526e8b36a41f.css	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/css/fe13526e8b36a41f.css	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:52:58	17859/17859	---MCZ	200	added ('OK')	text/css	etag:W/%2245c3-192b3ec64f8%22	https://www.kabum.com.br/core/_next/static/css/6895068b38b5152d.css	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/css/6895068b38b5152d.css	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:00	18430/18430	---MCZ	200	added ('OK')	application/javascript	etag:W/%2247fe-192b3ec64f8%22	https://www.kabum.com.br/core/_next/static/chunks/3360.0370e89ba2345308.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/3360.0370e89ba2345308.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:00	327926/327926	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ee3e2baeb0eb038c8fae709103303d9%22	http://kabum.api.useinsider.com/ins.js?id=10010958	C:/Meus%20Sites/kabum/kabum.api.useinsider.com/ins2ce3.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:00	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-192b910b1a0%22	https://www.kabum.com.br/core/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:00	6905/6905	---MCZ	200	added ('OK')	application/javascript	etag:W/%221af9-192ba3ced00%22	https://www.kabum.com.br/core/_next/static/chunks/webpack-967b0f3795448d75.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/webpack-967b0f3795448d75.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:00	141132/141132	---MCZ	200	added ('OK')	application/javascript	etag:W/%222274c-192ba3ced00%22	https://www.kabum.com.br/core/_next/static/chunks/framework-635f4251d9a94b4c.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/framework-635f4251d9a94b4c.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:01	100872/100872	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218a08-192ba3ced00%22	https://www.kabum.com.br/core/_next/static/chunks/main-b86d963f28caff23.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/main-b86d963f28caff23.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:01	1647068/1647068	---MCZ	200	added ('OK')	application/javascript	etag:W/%221921dc-192b910b1a0%22	https://www.kabum.com.br/core/_next/static/chunks/pages/_app-3f203d713155e578.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/pages/_app-3f203d713155e578.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:01	33292/33292	---MCZ	200	added ('OK')	application/javascript	etag:W/%22820c-192b910b1a0%22	https://www.kabum.com.br/core/_next/static/chunks/6142-1fe90a815bf32a2b.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/6142-1fe90a815bf32a2b.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:01	28738/28738	---MCZ	200	added ('OK')	application/javascript	etag:W/%227042-192b910b1a0%22	https://www.kabum.com.br/core/_next/static/chunks/8042-d59140c26eed0a7b.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/8042-d59140c26eed0a7b.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:01	110588/110588	---MCZ	200	added ('OK')	application/javascript	etag:W/%221affc-192b910b1a0%22	https://www.kabum.com.br/core/_next/static/chunks/2309-d912fcb4709f3bff.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/2309-d912fcb4709f3bff.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:02	14412/14412	---MCZ	200	added ('OK')	application/javascript	etag:W/%22384c-192ba3ced00%22	https://www.kabum.com.br/core/_next/static/chunks/2869-f60dab7946db7c36.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/2869-f60dab7946db7c36.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:02	330845/330845	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250c5d-192b910b1a0%22	https://www.kabum.com.br/core/_next/static/chunks/pages/produto/%5B...slug%5D-6a1405215d49529d.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/chunks/pages/produto/[...slug]-6a1405215d49529d.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:02	4175/4175	---MCZ	200	added ('OK')	application/javascript	etag:W/%22104f-192ba3ced00%22	https://www.kabum.com.br/core/_next/static/nDrsIghfUP0HgAP1Pte59/_buildManifest.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/nDrsIghfUP0HgAP1Pte59/_buildManifest.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:02	103/103	---M--	200	added ('OK')	application/javascript	etag:W/%2267-192ba3d23b0%22	https://www.kabum.com.br/core/_next/static/nDrsIghfUP0HgAP1Pte59/_ssgManifest.js	C:/Meus%20Sites/kabum/www.kabum.com.br/core/_next/static/nDrsIghfUP0HgAP1Pte59/_ssgManifest.js	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:03	2183/2183	---M--	200	added ('OK')	image/jpeg	etag:%22f82e475cc942e3f7d155abbb0633f1b4c4aa7298%22	https://images9.kabum.com.br/produtos/fabricantes/logo-google.jpg	C:/Meus%20Sites/kabum/images9.kabum.com.br/produtos/fabricantes/logo-google.jpg	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:04	1575/1575	---M--	200	added ('OK')	image/jpeg	etag:%225984ed63012b07faea0c7725d6b3f3ed07eb60d0%22	https://images4.kabum.com.br/produtos/fotos/426194/gift-card-google-play-15-reais-cartao-presente-digital_1677588318_p.jpg	C:/Meus%20Sites/kabum/images4.kabum.com.br/produtos/fotos/426194/gift-card-google-play-15-reais-cartao-presente-digital_1677588318_p.jpg	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:04	7395/7395	---M--	200	added ('OK')	image/jpeg	etag:%22ac2d2e0eeca1ce8de6e92069e915b447c344af14%22	https://images4.kabum.com.br/produtos/fotos/426194/gift-card-google-play-15-reais-cartao-presente-digital_1677588318_g.jpg	C:/Meus%20Sites/kabum/images4.kabum.com.br/produtos/fotos/426194/gift-card-google-play-15-reais-cartao-presente-digital_1677588318_g.jpg	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
02:53:05	18854/18854	---M--	200	added ('OK')	image/jpeg	etag:%22d38ac9285848a1e8b3d24d511aef502e50855756%22	https://images4.kabum.com.br/produtos/fotos/426194/gift-card-google-play-15-reais-cartao-presente-digital_1677588318_gg.jpg	C:/Meus%20Sites/kabum/images4.kabum.com.br/produtos/fotos/426194/gift-card-google-play-15-reais-cartao-presente-digital_1677588318_gg.jpg	(from https://www.kabum.com.br/produto/426194/gift-card-google-play-15-reais-cartao-presente-digital)
